gen,evals,sigma,success_rate,c1,cmu,lambda,min_var,max_var,niche
183,1707,49.91623308464698,0.75,0.024721894075368588,0.01,8,1e-12,2.4959263776616135e-07,0
184,1715,51.39493926601877,1.0,0.02719408348290545,0.01,8,1e-12,2.493852712181612e-07,0
185,1723,52.80742596097523,1.0,0.029913491831195998,0.01,8,1e-12,2.4684908131557755e-07,0
186,1731,55.15665367591399,0.375,0.029913491831195998,0.01,8,1e-12,2.4794246541786944e-07,0
187,1739,58.40794403380433,1.0,0.0329048410143156,0.01,8,1e-12,2.447748839722434e-07,0
188,1747,61.06449686402851,1.0,0.03619532511574716,0.01,8,1e-12,2.448229571942511e-07,0
189,1755,59.94930458588153,0.0,0.03257579260417245,0.011000000000000001,8,1e-12,2.3376578151710496e-07,0
190,1763,60.19017045553813,0.875,0.035833371864589694,0.01,8,1e-12,2.2651315047977188e-07,0
191,1771,61.261387476493944,1.0,0.039416709051048666,0.01,8,1e-12,2.2420984764450228e-07,0
192,1779,59.13120837728335,1.0,0.043358379956153534,0.01,8,1e-12,2.1908850671075743e-07,0
193,1787,57.48443875466994,0.0,0.039022541960538185,0.011000000000000001,8,1e-12,2.1020144041881838e-07,0
194,1795,56.90684842421449,0.625,0.042924796156592004,0.01,8,1e-12,2.0880167527032438e-07,0
195,1803,59.9601974510849,1.0,0.04721727577225121,0.01,8,1e-12,2.0762800134746828e-07,0
196,1811,61.92339225896979,0.625,0.051939003349476334,0.01,8,1e-12,2.1496240757761946e-07,0
197,1819,59.125259664253726,0.375,0.051939003349476334,0.01,8,1e-12,2.0873449472133888e-07,0
198,1827,58.317388746833196,0.75,0.057132903684423975,0.01,8,1e-12,2.0206764712509022e-07,0
199,1835,56.1048573557118,0.625,0.06284619405286637,0.01,8,1e-12,1.9090458503474455e-07,0
200,1843,61.09795319401108,0.875,0.06913081345815301,0.01,8,1e-12,1.8369613337102808e-07,0
201,1851,60.423333350981345,0.875,0.07604389480396832,0.01,8,1e-12,1.832623564075199e-07,0
202,1859,60.67333089943486,0.25,0.07604389480396832,0.01,8,1e-12,1.7328844077113373e-07,0
203,1867,59.937287973383526,0.375,0.07604389480396832,0.01,8,1e-12,1.716146071517994e-07,0
204,1875,63.87933630329196,0.5,0.07604389480396832,0.01,8,1e-12,1.6041640426222524e-07,0
205,1883,70.16781285571231,1.0,0.08364828428436516,0.01,8,1e-12,1.54998256300991e-07,0
206,1891,72.08916457362596,1.0,0.09201311271280169,0.01,8,1e-12,1.4714168750215508e-07,0
207,1899,70.88394589010116,0.25,0.09201311271280169,0.01,8,1e-12,1.5334020034449368e-07,0
208,1907,68.77906401514691,1.0,0.10121442398408187,0.01,8,1e-12,1.4943130638676333e-07,0
209,1915,64.7992751375048,0.625,0.11133586638249006,0.01,8,1e-12,1.461512908400796e-07,0
210,1923,62.49077290358707,1.0,0.12246945302073907,0.01,8,1e-12,1.4427534319530874e-07,0
211,1931,62.27761014460492,0.875,0.13471639832281299,0.01,8,1e-12,1.5307702207537364e-07,0
212,1939,66.64532714822205,1.0,0.1481880381550943,0.01,8,1e-12,1.4755869438690655e-07,0
213,1947,65.13138258567409,1.0,0.16300684197060372,0.01,8,1e-12,1.4563676893757336e-07,0
214,1955,63.06965045906679,0.25,0.16300684197060372,0.01,8,1e-12,1.4545643749237165e-07,0
