gen,evals,F_mean,CR_mean,p,pop_size,success_rate,niche
138,6033,0.5,0.13401877777830248,0.25,13,0.23076923076923078,0
139,6046,0.5,0.11257816715746813,0.25,13,0.07692307692307693,0
140,6059,0.5,0.11257816715746813,0.25,13,0.0,0
141,6072,0.5,0.12856888759744844,0.25,13,0.07692307692307693,0
142,6085,0.5,0.07935997254830472,0.25,13,0.15384615384615385,0
143,6097,0.5,0.032222792619131746,0.25,12,0.08333333333333333,0
144,6109,0.5,0.044860129592934485,0.25,12,0.25,0
145,6121,0.5,0.044860129592934485,0.25,12,0.08333333333333333,0
146,6133,0.5,0.02822691825317918,0.25,12,0.08333333333333333,0
147,6145,0.5,0.016094731505418892,0.25,12,0.25,0
148,6157,0.5,0.031635528768101696,0.25,12,0.08333333333333333,0
149,6168,0.5,0.018998191794298964,0.25,11,0.18181818181818182,0
150,6179,0.5,0.018998191794298964,0.25,11,0.09090909090909091,0
151,6190,0.5,0.022640168354021557,0.25,11,0.09090909090909091,0
152,6201,0.5,0.028076000196029925,0.25,11,0.09090909090909091,0
153,6212,0.5,0.012742291161705669,0.25,11,0.2727272727272727,0
154,6223,0.5,0.01790502169776256,0.25,11,0.36363636363636365,0
155,6233,0.5,0.01790502169776256,0.25,10,0.2,0
156,6243,0.5,0.025394014682294526,0.25,10,0.2,0
157,6253,0.5,0.02235430016539401,0.25,10,0.2,0
158,6263,0.5,0.02871197089819743,0.25,10,0.1,0
159,6273,0.5,0.028287383660352394,0.25,10,0.1,0
160,6283,0.5,0.19688626297855238,0.25,10,0.1,0
161,6293,0.5,0.19688626297855238,0.25,10,0.0,0
162,6302,0.5,0.1870621815742371,0.25,9,0.2222222222222222,0
163,6311,0.5,0.1833758563432552,0.25,9,0.1111111111111111,0
164,6320,0.5,0.24871345127382577,0.25,9,0.4444444444444444,0
165,6329,0.5,0.24871345127382577,0.25,9,0.0,0
166,6338,0.5,0.2439753079756139,0.25,9,0.1111111111111111,0
167,6347,0.5,0.2439753079756139,0.25,9,0.0,0
168,6356,0.5,0.2439753079756139,0.25,9,0.0,0
169,6364,0.5,0.2439753079756139,0.25,8,0.0,0
170,6372,0.5,0.2439753079756139,0.25,8,0.0,0
171,6380,0.5,0.2439753079756139,0.25,8,0.0,0
172,6388,0.5,0.2439753079756139,0.25,8,0.0,0
173,6396,0.5,0.2439753079756139,0.25,8,0.0,0
174,6404,0.5,0.2439753079756139,0.25,8,0.0,0
175,6412,0.5,0.2439753079756139,0.25,8,0.0,0
176,6420,0.5,0.2439753079756139,0.25,8,0.0,0
177,6428,0.5,0.2439753079756139,0.25,8,0.0,0
178,6435,0.5,0.2439753079756139,0.25,7,0.0,0
179,6442,0.5,0.2439753079756139,0.25,7,0.0,0
180,6449,0.5,0.2439753079756139,0.25,7,0.0,0
181,6456,0.5,0.2439753079756139,0.25,7,0.0,0
182,6463,0.5,0.2439753079756139,0.25,7,0.0,0
183,6470,0.5,0.2439753079756139,0.25,7,0.0,0
184,6477,0.5,0.2439753079756139,0.25,7,0.0,0
185,6484,0.5,0.2439753079756139,0.25,7,0.0,0
186,6491,0.5,0.2439753079756139,0.25,7,0.0,0
187,6498,0.5,0.2439753079756139,0.25,7,0.0,0
188,6504,0.5,0.2439753079756139,0.25,6,0.0,0
189,6510,0.5,0.2439753079756139,0.25,6,0.0,0
190,6516,0.5,0.2439753079756139,0.25,6,0.0,0
191,6522,0.5,0.2439753079756139,0.25,6,0.0,0
192,6528,0.5,0.07773122272323763,0.25,6,0.16666666666666666,0
193,6534,0.5,0.07773122272323763,0.25,6,0.0,0
194,6540,0.5,0.07773122272323763,0.25,6,0.0,0
